teamname,curr_roster,old_rosters
The Huns,"['nin9', 'yami', 'bart4k', 'xerolte', 'cobra']","[['cobra', 'yami', 'veccil', 'nin9', 'bart4k'], ['cobra', 'veccil', 'xerolte', 'nin9', 'bart4k'], ['cobra', 'xerolte', 'nin9', 'bart4k', 'wonderzce'], ['nin9', 'bart4k', 'cobra', 'wonderzce']]"
The Last Resort,"['zulu', 'frazehh', 'dexter', 'jaustere', 'bigun007']",[]
The MongolZ,"['910', 'blitz', 'mzinho', 'senzu', 'techno']",[]
The QUBE,"['solooos', 'kamui', 'bkzcurs3d', 'uncrown', 'faline']","[['anselmo', 'solooos', 'uncrown', 'bkzcurs3d', 'kamui'], ['anselmo', 'solooos', 'bkzcurs3d', 'paranormal', 'kamui'], ['sonqmad', 'paranormal', 'solooos'], ['sonqmad', 'tugu', 'solooos', 'rate', 'paranormal']]"
The Suspect,"['bledard', 'cerber', 'dementor', 'hyperi1', 'valon']","[['cerber', 'bledard', 'caleyy', 'valon', 'hyperi1'], ['hyperi1', 'cerber', 'valon', 'bledard']]"
thekillaz fe,"['fly', 'cellax', 'samys', 'hera', 'xuliana']","[['hera', 'fly', 'cellax', 'samys', 'showliana'], ['samys', 'fly', 'cellax']]"
timbermen,"['aleph', 'dare', 'nero', 'shane', 'snav']","[['dare', 'shane', 'dea'], ['shane', 'dea', 'snav', 'dare', 'nosrac'], ['dare'], ['dare', 'snav'], ['dare', 'rayxts', 'snav', 'nicx'], ['dare', 'shane', 'snav']]"
TNL,"['nifee', 'flierax', 'onic', 'dawy', 'cairne']","[['cairne', 'zogen', 'onic', 'st0m4k', 'yukitoro'], ['cairne', 'zogen', 'onic', 'st0m4k', 'ganginho']]"
Tricked,"['nodios', 'valde', 'queenix', 'salazar', 'leakz']","[['valde', 'nodios', 'salazar', 'queenix', 'roej']]"
Tropa do KinGui,"['flash', 'broken', 'clon7', 'wallz1k', 'cld']",[]
Tropa do VSM,"['vsm', 'cutzmeretz', 'misfit', 'farias', 'max']",[]
True Rippers,"['anasasis', 'crunchy', 'defaulter', 'mcg!llzzz', 'rossi']",[]
TSM,"['acor', 'niko', 'sirah', 'valde', 'zyphon']",[]
TSM Impact,"['bungee', 'di^', 'juli', 'lx', 'madss']","[['empathy', 'florence', 'lx', 'madss', 'abby']]"
Tsunami,"['caustic', 'cajun', 'pose1donn', 'drop', 'coolcoms']","[['fxre', 'drop', 'pose1donn', 'coolcoms', 'cajun']]"
Tunisia,"['falez', 'potei', 'remind', 'rigla', 'zaca']",[]
Turkey,"['emstar', 'h0kz', 'imorr', 'lugsen', 'scollen']",[]
Twenty Seven,"['facecrack', 'chill', 'znxxx', 'raijin', 'w1sely']",[]
TYLOO,"['jamyoung', 'jee', 'moseyuh', 'mercury', 'attacker']","[['mercury', 'attacker', 'jamyoung', 'jee', 'k4mi'], ['moseyuh', 'mercury', 'jee', 'auman', 'jamyoung'], ['moseyuh', 'mercury', 'jee'], ['moseyuh', 'mercury', 'jee', 'starry', 'jamyoung'], ['jee', 'mercury', 'moseyuh', 'auman'], ['moseyuh', 'starry', 'mercury', 'jee'], ['moseyuh', 'mercury', 'jee', 'auman', 'starry'], ['advent', 'mercury', 'kaze', 'jamyoung', 'zdr']]"
undefined,"['beakie', 'chop', 'clasia', 'motm', 'stamina']","[['motm', 'stamina', 'cxzi', 'beakie', 'chop'], [], ['chop', 'motm', 'skadoodle', 'cxzi', 'steel'], ['fxre', 'motm', 'stamina', 'cxzi', 'chop'], ['motm', 'chop', 'cxzi', 'stamina'], ['beakie', 'chop', 'motm', 'stamina']]"
Underground,"['n1ghtraid', 'mechanical', 'omichella', 'coops', 'rahley']",[]
Undone,"['chop', 'cxzi', 'motm', 'skadoodle', 'steel']","[['steel', 'chop', 'skadoodle', 'motm']]"
UNiTY,"['k1-fida', 'neofrag', 'darber', 'woozzzi', 'perdy']","[['pechyn', 'k1-fida', 'levi', 'woozzzi', 'neofrag'], ['pechyn', 'k1-fida', 'levi', 'neofrag', 'blogg1s'], ['k1-fida', 'pechyn', 'levi', 'm1key'], ['pechyn', 'm1key', 'k1-fida', 'levi', 'blogg1s']]"
UNO MILLE,"['zmb', 'realz1n', 'leomonster', 'bsd', 'happ']","[['realz1n', 'leomonster', 'r4ul', 'remix', 'zmb'], ['realz1n', 'leomonster', 'bnc', 'remix', 'zmb'], ['cerolzin', 'realz1n', 'bnc', 'remix', 'zmb'], ['remix', 'realz1n', 'zmb', 'bnc'], ['remix', 'realz1n', 'zmb']]"
UNPAID,[],"[['nexa', 'cypher', 'jkaem', 'vldn', 'h4rn'], ['nexa', 'cypher', 'jkaem'], ['nexa', 'cypher', 'jkaem', 'vldn']]"
Unsettled Resentment,"['spine', 'miami', 'rage_cn', 'risk']",[]
UR,"['expsasiki', 'miami', 'rage', 'risk', 'spine']",[]
USA,"['cojomo', 'gabe', 'louie', 'mason', 'mds']",[]
USA fe,"['emuhleet', 'emy', 'madss', 'olya', 'uhkelsie']",[]
vagrants,"['brett', 'cyrix', 'mason', 'sandman', 'seb']","[['micro', 'mason', 'cyrix', 'sandman', 'seb']]"
Vantage,"['drox', 'mingovi', 'supar', 'jynx', 'snaaz']","[['drox', 'supar', 'mingovi', 'swerzien', 'jynx'], ['drox', 'n1ghtraid', 'nauh', 'alecc', 'jynx'], ['supar', 'drox', 'mingovi', 'jynx'], ['drox', 'supar', 'mingovi', 'alecc', 'jynx']]"
VELOX,"['jony boy', 'tutehen', 'nbl', 'abm', 'maaxg1']","[['tutehen', 'jony boy', 'nbl', 'maaxg1'], ['jony boy', 'nbl', 'maaxg1', 'toto', 'tutehen'], ['tutehen', 'jony boy', 'nbl']]"
Venom,"['magi', 'flaw', 'redzy']","[['magi', 'redzy', 'rafftu', 'flaw']]"
Verdant,"['artist', 'extinct', 'girafffe', 'leaf', 'vacancy']","[['girafffe', 'extinct', 'vacancy', 'artist'], ['vacancy', 'diviiii', 'artist', 'girafffe', 'extinct'], ['vacancy', 'diviiii', 'cryths', 'girafffe', 'extinct'], ['artist', 'dobbo', 'leaf', 'girafffe', 'extinct'], ['diviiii', 'artist', 'leaf', 'girafffe', 'extinct'], ['vacancy', 'artist', 'bevve', 'girafffe', 'extinct']]"
Victores Sumus,"['recoilmaster', 'ember', 'benzene', 'arakyn', 'rayzer']","[['benzene', 'arakyn', 'rayzer', 'champ', 'recoilmaster'], ['benzene', 'arakyn', 'champ', 'recoilmaster', 'rayzer '], ['benzene', ' rayzer ', 'arakyn', 'champ', 'recoilmaster']]"
Viperio,"['swicher', 'shyyne', 'skrimo', 'zodi', 'dezt']","[['zodi', 'swicher', 'dezt', 'junyme', 'skrimo']]"
Virtual Cottage,"['amanek', 'lunatic', 'espiranto', 'aidkit', 'spardaus']",[]
Virtus.pro,"['fame', 'electronic', 'fl1t', 'fl4mus', 'icy']","[['n0rb3r7', 'fame', 'fl1t', 'electronic', 'jame'], ['n0rb3r7', 'fame', 'electronic', 'fl1t']]"
Vitality,"['apex', 'flamez', 'mezii', 'ropz', 'zywoo']","[['flamez', 'spinx', 'apex', 'mezii', 'zywoo'], ['flamez', 'spinx', 'jackz', 'apex', 'zywoo']]"
Volt,"['zewts', 'dan1', 'maze', 'skyye', 'jboen']","[['nukkye', 'skyye', 'jboen', 'rilax', 'maze'], ['msn', 'skyye', 'jboen', 'smekk-', 'maze'], ['ex1st', 'msn', 'skyye', 'jboen', 'smekk-']]"
VP.Prodigy,"['b1st', 'aquars', 'triborgg1', 'to0ro']","[['kusme', 'b1st', 'something', 'dwushka', 'xdeniszera']]"
W7M,"['horvy', 'shz', 'jota', 't9rnay', 'levi']","[['jota', 't9rnay', 'levi', 'shz'], ['jota', 'levi', 'fokiu', 'shz', 't9rnay'], ['jz', 'card', 'fokiu', 'stormzyn', 't9rnay']]"
Wanted Goons,"['febreeze', 'johan', 'killerpandas', 'kmz', 'magic']","[['freaky', 'supa', 'frizzy', 'bagel', 'littlebeer'], ['littlebeer', 'frizzy', 'freaky', 'supa'], ['gurtzz', 'neight', 'jachro']]"
Wave,"['syncd', 'xcr', 'sjn']","[['xcr', 'syncd', 'ghost', 'alxc', 'sjn']]"
WDNMD,"['qz', 'attacker', 'bottle', 'ayeon']","[['ayeon', 'bottle', 'qz', 'attacker', 'lan']]"
Wildcard,"['stanislaw', 'sonic', 'phzy', 'susp', 'jba']","[['stanislaw', 'susp', 'stewie2k', 'jba', 'sonic'], ['stanislaw', 'susp', 'fr3nd', 'jba', 'sonic']]"
Wildcard Academy,"['fr3nd', 'tmkj', 'wonder', 'ssen', 'doni']","[['ssen', 'tmkj', 'fr3nd', 'wonder', 't4gg3d']]"
WildLotus,"['cruc1al', 'b0rup', 'birdfromsky', 'keoz', 'vegi']","[['vegi', 'keoz', 'smooya', 'birdfromsky', 'redstar']]"
WOPA,"['vster', 'n1xen', 'pr1me', 'gnøffe', 'sl1m3']","[['pr1me', 'sl1m3', 'leakz', 'vster', 'gnøffe'], ['vster', 'pr1me', 'sl1m3', 'gnøffe'], ['sl1m3', 'leakz', 'zeden', 'vster', 'gnøffe']]"
Worms,"['rulik', 'stanf1x', 'graphx', 's1renaa', 'karv3r']","[['stanf1x', 's0ph3r', 'graphx', 'karv3r', 'rulik'], ['s1renaa', 'graphx', 'xsany', 'karv3r', 'rulik']]"
Wu-Tang,"['q-q', 'zewts', 'm4tthi', 'maze']","[['q-q', 'zewts', 'sebreeze', 'm4tthi', 'maze'], ['sebreeze', 'q-q', 'zewts', 'maze'], ['q-q', 'zewts', 'sebreeze', 'woozzzi', 'maze'], ['shushan', 'sebreeze', 'q-q', 'maze'], ['shushan', 'tvs', 'q-q', 'sebreeze', 'maze']]"
WW,"['aunkere', 'ct0m', 'jerry', 'strogo', 'tried']","[['strogo', 'aunkere', 'ct0m', 'tried'], ['ct0m', 'jerry', 'almazer', 'tried', 'aunkere'], ['ct0m', 'strogo', 'kelien', 'tried', 'aunkere']]"
XDM,"['shad0w', 'taidao', 'r1verlake', 'kungao', 'darkk']",[]
XI,"['scr0b', 'dengzoe', 'anber', 'few', 'kragh']",[]
XNL,"['fries', 'zhangjingxuan', 'tdd', '21cc', 'carua']",[]
Yawara,"['j0w', 'stax', 'revoltz', 'nardes']","[['stax', 'nardes', 'revoltz', 'tele d', 'j0w'], ['j0w', 'stax', 'revoltz', 'tele d'], ['stax', 'revoltz', 'tele d', 'j0w', 'lash'], ['stax', 'tele.d', 'revoltz', 'j0w', 'lash'], ['stax', 'telezin', 'revoltz', 'j0w', 'lash']]"
Young Ninjas,"['bluepho3nix', 'mistem', 'rud', 'jocab', 'mahar']","[['silence', 'mistem', 'xkacpersky', 'jocab', 'bluepho3nix'], ['bluepho3nix', 'silence', 'jocab'], ['bluepho3nix', 'xkacpersky', 'silence', 'jocab']]"
Zero Tenacity,"['avn', 'brutmonster', 'cjoffo', 'nemanha', 'simke']",[]
Þór,"['peterr', 'allee', 'rean', 'dellone', 'dabbehhh']",[]
