teamname,curr_roster,old_rosters
BESTIA,"['noktse', 'cass1n', 'luchov', 'tomaszin', 'timo']","[['leo_drunky', 'tomaszin', 'luchov', 'noktse', 'cass1n'], ['pancc', 'tomaszin', 'luchov', 'noktse', 'naz'], ['luchov', 'tomaszin', 'cass1n', 'noktse'], ['leo_drk', 'tomaszin', 'luchov', 'noktse', 'cass1n'], ['tomaszin', 'zock', 'luchov', 'noktse', 'naz'], ['luchov', 'naz', 'tomaszin', 'noktse']]"
BetBoom,"['ax1le', 'boombl4', 'magnojez', 's1ren', 'zorte']","[['kair0n-', 's1ren', 'nafany', 'magnojez', 'ax1le'], ['kair0n-', 'zorte', 's1ren', 'nafany', 'magnojez'], ['zorte', 'magnojez', 's1ren'], ['sellter', 'kair0n-', 'zorte', 's1ren', 'magnojez']]"
Betclic,"['demho', 'prism', 'jcobbb', 'hfah', 'hypex']",[]
Betera,"['el1an', 'masval', 'owner', 'sh1nejezzz', 'tenzy']","[['tenzy', 'synyx', 'h1te', 'vert', 'masval'], ['tenzy', 'h1te', 'supra', 'masval', 'owner'], ['h1te', 'masval', 'tenzy'], ['masval', 'el1an', 'tenzy'], ['masval', 'el1an', 'owner'], ['masval', 'el1an', 'owner', 'sh1nejezzz'], ['el1an', 'supra', 'masval', 'sh1nejezzz', 'owner']]"
BIG,"['tabsen', 'jdc', 'krimbo', 'kyuubii', 'hyped']","[['rigon', 'jdc', 'tabsen', 'krimbo', 'syrson'], ['tabsen', 'jdc', 'krimbo'], ['syrson', 'tabsen', 'jdc', 'krimbo']]"
BIG EQUIPA,"['zana', 'pullox', 'jennyr', 'hanka', 'pauliiee']","[['jennyr', 'leti', 'zana', 'juliano', 'pauliiee'], ['zana', 'jennyr', 'pauliiee'], ['pauliiee', 'zana', 'jennyr', 'juliano']]"
Big W,"['crazy_gamer', 'cyclonef', 'hattygod', 'n1kace', 'spawn']",[]
Bigetron Fury,"['nero', 'aleph']",[]
Black Mold,"['knopk@', 'bungee', 'uhkelsie', 'madss', 'sunnypp']","[['bungee', 'knopk@', 'sunnypp', 'uhkelsie']]"
Blaze Warriors,"['pms', 'baby4', 'melu', 'tad', 'ryu']",[]
Blue Otter Karma,"['buhnny', 'ellie', 'emuhleet', 'olya', 'rain']",[]
BLUEJAYS,"['freshie', 'fruitcupx', 'slight', 'dare', 'snav']","[['slight', 'freshie', 'snav', 'fruitcupx', 'wolffe']]"
BOSS,[],"[['slight', 'freshie', 'snav', 'fruitcupx', 'wolffe'], ['d4rty', 'cryptic', 'slight', 'freshie', 'fruitcupx']]"
Bounty Hunters,"['tuurtle', 'meyern', 'kaiser', 'bruninho', 'zock']","[['meyern', 'tuurtle', 'zock', 'kaiser'], ['reix', 'bnc', 'shoowtime', 'bruninho', 'kaiser'], ['meyern', 'bnc', 'shoowtime', 'bruninho', 'kaiser'], ['piriajr', 'reix', 'bnc', 'shoowtime', 'kaiser']]"
Bounty Hunters fe,"['cara de banana', 'vii', 'brendinha', 'eleven', 'croma']","[['vii', 'brendinha', 'eleven', 'dynasty', 'cara de banana']]"
Bravado,"['march', 'wilj', 'doru', 'triton']",[]
Bromo,"['zy88', 'spine', 'fiourn', 'miami', 'rage_cn']","[['spine', 'zy88', 'miami', 'fiourn', 'rage']]"
BRUTE,"['m0nsterr', 'realzen', 'savana1', 'v4no', 'w4rden']","[['w4rden', 'realzen', 'v4no', 'n1kolaj', 'siko'], ['w4rden', 'realzen', 'v4no', 'siko', 'm0nsterr'], ['m0nsterr', 'siko', 'w4rden', 'realzen']]"
BURN,"['lcs', 'puni', 'lin', 'leleo', 'shrr']",[]
Canada,"['gabie', 'j0lz', 'melio', 'pluto', 'yuz']",[]
Canon Event,"['mitzy', 'cc3ptic', 'supers', 'crackbaby', 'fazz']",[]
Carpe Diem,"['lake', 'micro', 'seb', 'tender', 'wiz']",[]
Case,"['bsd', 'nyezin', 'ricioli', 'urban0', 'yepz']",[]
CatEvil,"['cate', 'lan', 'tanxiaomei', 'roninbaby', 'bza']","[['tanxiaomei', 'roninbaby', 'ruben', 'biuckmt', 'bza'], ['tanxiaomei', 'biuckmt', 'bza', 'roninbaby'], ['rw', 'tanxiaomei', 'roninbaby', 'biuckmt', 'bza'], ['tanxiaomei', 'roninbaby', 'lan', 'biuckmt', 'bza']]"
Change The Game,"['hack1ng', '957', 'yancher', 'zero', 'laikexu']","[['hack1ng', 'laikexu', 'yancher', '957'], ['lyrics3', 'laikexu', 'crisis', '957', 'linggod']]"
Chetz,"['swaggy', 'shateri', 'wazz', 'oskvr']",[]
Chicken Coop,"['frizzy', 'littlebeer', 'binox', 'bagel']","[['taggy', 'frizzy', 'bagel', 'binox', 'littlebeer'], ['taggy', 'supa', 'frizzy', 'bagel', 'littlebeer']]"
Chile,"['alexer', 'dopweek', 'kratzen', 'orphan', 'wait']",[]
Chill Guys,"['evan', 'magic', 'merl', 'night666lade', 'taben']",[]
Chimera,"['fpsss', 'sh1nejezzz', 'm1quse', 'vilby', 'bluewh1te']","[['m1quse', 'bluewh1te', 'sh1nejezzz', 'vilby', 'z3nder']]"
Chinggis Warriors,"['roux', 'cool4st', 'ariucle', 'controlez', 'efire']","[['roux', 'efire', 'controlez', 'ariucle', 'neuz'], ['zilkenberg', 'xerolte', 'neuz', 'sergelen19k', 'fury5k'], ['xerolte', 'ariucle', 'neuz', 'fury5k'], ['zilkenberg', 'xerolte', 'neuz', 'fury5k'], ['xerolte', 'neuz', 'fury5k']]"
Cloud9,"['ax1le', 'boombl4', 'heavygod', 'icy', 'interz']","[[], ['boombl4', 'heavygod', 'interz', 'ax1le']]"
Clutch,"['hasteka', 'izr', 'origloniko', 'tsogoo', 'veccil']","[['izr', 'tsogoo', 'origloniko'], ['izr', 'tsogoo', 'clouden', 'origloniko'], ['izr', 'clouden', 'origloniko', 'tsogoo', 'hasteka']]"
Complexity,"['jt', 'hallzerk', 'grim', 'cxzi', 'nicx']","[['elige', 'hallzerk', 'grim', 'floppy', 'jt'], ['elige', 'hallzerk', 'grim', 'jt']]"
CPH Wolves,"['kwezz', 'jackinho', 'b1elany', 'tapewaare', 'matheos']","[['jackinho', 'tapewaare', 'szejn', 'b1elany', 'andu'], ['szejn', 'tapewaare', 'eraa', 'magila', 'andu'], ['b1elany', 'jackinho', 'tapewaare', 'szejn'], ['szejn', 'tapewaare', 'eraa', 'sausol', 'fessor'], ['andu', 'szejn', 'tapewaare'], ['bøghmagic', 'szejn', 'tapewaare', 'sense', 'fessor'], ['eraa', 'andu', 'szejn', 'tapewaare'], ['szejn', 'tapewaare', 'mwlky', 'magila', 'andu'], ['szejn', 'eraa', 'magila', 'sebreeze', 'andu']]"
Crescent fe,"['akiyanora', 'ayaka', 'meo', 'mileyyy', 'unknxwn']","[['meo', 'unknxwn', 'amore', 'akiyanora', 'mileyyy']]"
CS2News,"['fostar', 'h4rn', 'h4san4tor', 'kwezz', 'sstinix']",[]
CS2News Ladies,"['f6tal', 'stormy', 'v1spel', 'irbitka', 'emocore']","[['irbitka', 'margo', 'stormy', 'emocore', 'v1spel']]"
Cyber Empire,"['whiskas', 'makaroff', 'hexoq', 'astr', 'meowpop']",[]
CYBERSHOKE,"['glowiing', 'lov1kus', 'notineki', 'bl1x1', 'fenomen']","[['truniq', 'lov1kus', 'fenomen', 'notineki', 'levantino'], ['sstinix', 'lov1kus', 'fenomen', 'notineki', 'levantino']]"
Czech Republic,"['darber', 'neofrag', 'olik', 'pandi7o', 'perdy']",[]
Daaku,"['dottie', 'wolffe', 'nomizz', 'weeza', 'rain']",[]
Dark Cloud,"['darchevile', 'mwlky', 'adrien', 'chudy', 'nami']",[]
DASH,"['ch1rs', 'dawy', 'flierax', 'nifee', 'psycho']","[['dawy', 'psycho', 'flierax'], ['dawy', 'cairne', 'nifee', 'psycho', 'flierax'], ['dawy', 'psycho', 'flierax', 'nifee']]"
Daystar,"['behindx', 'mango', 'speedie', 'stesso', 'viggo']","[['bekker', 'behindx', 'stesso', 'speedie'], ['viggo', 'bekker', 'stesso', 'behindx', 'speedie']]"
Delta,"['ddoni', 'mixmeister', 'dosikk', 'tsukumeow', 'dune']","[['zcuhn', 'ddoni', 'dosikk', 'mixmeister', 'tsukumeow']]"
Denial,"['smf', 'mertz', 'lund', 'nellozz', 'andree']",[]
Denmark fe,"['anja', 'ismo', 'kitkat', 'marie', 'sukkerzhok']",[]
DEPO,"['fr0k', 'dako', 'd1sastrous', 'wetfy', 'icyvl0ne']","[['wetfy', 'fr0k', 'yngtrxpstxr', 'kxtsne', 'botirshot']]"
Detonate,"['zucar', 'sasha', 'dvrk', 'hunger (arcade)', 'poseidonn']",[]
devils.one,"['fanatyk', 'suonko', 'frontsiderr', 'peterooo']","[['zemo', 'frontsiderr', 'peterooo', 'fanatyk', 'suonko']]"
Dewa United,"['sys', 'klipp', 'risen', 'marsyy', 'neorah']",[]
DMS,"['jammie', 'averona', 'uulis', 'sosya', 'k175un4']","[['sm3t', 'aw', 'sfade8', 'kalash', 'molodoy']]"
DogEvil,"['lan', 'b1ngo', 'roninbaby', 'tiger']","[['b1ngo', 'roninbaby', 'tiger', 'lan', 'bza']]"
Dragon EC,"['rafftu', 'milky', 'kiy0o', '3ippoch', 'shlyaperson']","[['rafftu', 'fakerealityy', 'milky', 'kiy0o', 'shlyaperson']]"
dream catchers fe,"['elizabeth', 'f6tal', 'k175un4', 'sosya', 'wieenn']",[]
Dreams To Legends,"['trouto', 'yz0', 'stop it', 'vonex', 'neo']",[]
DRILLAS,"['hadji', 'kvem', 'meztal', 'sener1', 'woro2k']","[['sener1', 'kvem'], ['kvem', 'woro2k', 'hadji', 'meztal', 'amsalem']]"
DUSTY,"['stebbic0c0', 'bjarni', 'lefluff', 'midgard', 'brnr']",[]
